X,Y,Cu
7787318,434736,51.7
7782211,435098,20.5
7782877,440318,20.6
7776274,435051,79.2
7771608,435241,49.7
7765445,434457,42.4
7757296,433358,121.8
7756655,438216,90.3
7752401,438065,97.4
7752264,432204,16.9
7748014,432184,23.5
7747183,437886,1017.6
7741641,438298,38
7737194,442439,25.6
7683489,434683,24.4
7682464,439806,86.5
7681991,447235,26.4
7681379,452406,22.8
7681358,458747,34.4
7687260,458240,28.9
7693745,459028,44.9
7700043,458903,28.3
7699585,452977,25.3
7695117,452763,32.3
7688545,452464,24.7
7689261,446148,30.9
7689477,440418,33.1
7689098,477216,43.2
7685273,477397,50.8
7685202,473886,40.6
7685079,469280,68.1
7689331,474097,51.4
7689237,469220,32.9
7689179,465221,32.9
7684479,464009,46.6
7689950,486863,44.8
7689318,483184,43.5
7696918,445077,22
7692960,440556,27.8
7685744,498705,76.1
7678307,465319,109.2
7679219,469237,114.2
7679512,474222,102.8
7680750,478391,111.1
7685643,487341,89.8
7749914,499922,20.5
7748105,496047,23.1
7745579,491792,19.6
7742570,486193,36.6
7738630,402376,15.1
7736176,398776,14
7740118,396229,17.5
7740904,391132,13.1
7738444,390086,26.6
7744587,391289,18.3
7743913,386657,19.4
7749434,390916,21.4
7748678,395450,20.6
7753487,419201,25.5
7758641,410781,24.2
7759990,413035,22.9
7762687,404645,19.2
7757573,404304,24.1
7754446,400827,25
7753493,406693,28.9
7751506,414537,22.4
7750598,418871,20.8
7740160,419653,21.4
7732530,413425,16.6
7734608,395013,34.7
7732910,389086,20.5
7731321,387446,43.5
7730869,391787,15.9
7728331,394209,18
7729990,382890,36
7727439,380855,18.1
7727418,386152,25.7
7724430,386401,49.6
7720581,392205,35.8
7718970,386520,16.2
7720915,382723,14.4
7714381,381637,18.8
7709242,380330,25.3
7693434,387470,17.3
7690115,389438,40.6
7685951,391811,28.8
7678927,386958,123.3
7678889,382681,70.9
7738371,495607,19
7735729,480791,21.2
7729391,483717,35.7
7735141,498736,28.2
7735080,495698,25.6
7754360,489401,21.1
7756082,481813,15.9
7719435,495359,27.3
7726622,498787,41.8
7726396,495974,25.7
7728776,495711,27.1
7731985,495509,22.3
7730723,490333,35.2
7730065,486648,33.4
7732310,482913,70.7
7731593,471491,59.7
7731434,467893,44.7
7744249,497781,23.9
7742802,491029,33.1
7743460,494222,23.7
7728053,491874,82.8
7726670,488150,62.2
7723279,485088,76.3
7723165,479775,59
7751296,492929,31.2
7741538,483225,19.2
7739898,479437,46.2
7746658,477670,23.6
7746831,473728,22
7736673,468650,21.4
7741268,468593,17
7740849,472376,17.4
7737196,471952,21.8
7736487,464102,19.4
7736294,460018,17.5
7741394,459164,20.8
7745382,457579,18
7745142,461467,18.8
7741831,463693,16.9
7749217,462153,23.7
7749356,457123,22.6
7748807,452977,19.7
7753490,453300,22.7
7753359,457278,27.4
7753314,461695,26.2
7752007,496798,19.9
7763730,475338,40.6
7757361,449783,21.9
7757423,453723,23.5
7757368,457286,19.3
7757319,462151,23.6
7735574,472059,15.6
7734465,476206,19
7728144,464715,16.6
7728209,468840,21.8
7726405,471422,78.4
7724026,469566,65.9
7724157,466287,16.1
7720545,466770,47.1
7720718,471228,22.2
7720843,475279,23.2
7724389,475194,23.2
7719968,479457,29.2
7717150,474885,22.3
7715323,471631,24.2
7717435,469100,20.7
7758899,487574,29.7
7764823,473369,129.4
7764678,473553,75.3
7682551,482847,174.2
7686552,495633,263.1
7761554,456884,4184.5
7761554,456884,1058.3
7762026,459334,495.6
7763082,460169,3746.3
7780611,480971,118.3
7775470,478158,58.1
7774990,478382,60
7774018,481937,69.7
7782294,477486,93.9
7779711,462522,115.5
7721762,424957,26.3
7721966,426487,34.7
7740476,498808,24.8
7733686,488205,30.7
7734953,492778,29.9
7754264,498863,30.2
7754657,492605,43.6
7722935,496953,45
7723818,499330,32.3
7729356,498806,29.1
7722510,423866,19.2
7723044,425404,19
7729702,418814,24.3
7719630,429085,22.5
7705875,424741,26.5
7704387,414973,16.6
7705409,406892,21.3
7706662,396817,26
7703597,388777,25
7702821,382798,33.5
7680949,391972,75.3
7692779,388733,38.2
7787583,412898,38.6
7757473,413947,26.8
7752938,411136,31
7747288,413298,27.8
7747969,405746,20.5
7749941,399759,22.9
7754171,395164,23
7753429,384930,18.1
7756666,390383,48.5
7766279,385915,69.7
7766613,390766,41.3
7773674,389111,71.5
7781721,388432,37.1
7699840,420644,53.5
7700566,414126,28.6
7701341,406685,17.5
7698299,404275,17.4
7698771,396653,23.3
7703196,391942,17.6
7708260,393146,21.7
7714755,391548,25.5
7716778,400939,20.1
7721870,400378,18.7
7719934,405574,18
7716539,429553,25.6
